"Herbivory","Plot","organic_matter","no3","nh4","po4"
"Partial","1",2.66039167777284,0.2681801905,1.039437768,0.1388463707
"Partial","2",1.81534212038633,0.1744951315,0.3778157087,0.08963504532
"Partial","3",2.07297472409856,0.4206071426,0.5217914694,0.07909381352
"Partial","4",2.75685582579646,0.5798295923,0.8952150427,0.1118452679
"Partial","5",2.94204557054516,0.7455083736,1.323797606,0.1320839467
"Partial","6",2.64470181223565,0.3037201003,1.015182267,0.1024795289
"Exclosure","1",2.82282914217859,0.5712683386,1.564546565,0.2844858512
"Exclosure","2",2.52288823631026,0.1083534664,0.450165796,0.1133089462
"Exclosure","3",2.48422327726003,0.3660485665,1.193616921,0.1102674196
"Exclosure","4",2.92345877775542,0.1146063971,0.7307228202,0.08654855901
"Exclosure","5",2.51011670869744,0.6492841155,0.5850250328,0.1329319248
"Exclosure","6",2.66975677354613,0.1460166417,0.8325425141,0.1864622812
"Control","1",2.04692960559161,1.663996978,1.046862613,0.06254434832
"Control","2",2.20311076565621,0.4992353229,1.113600188,0.1006803447
"Control","3",2.49899170843875,1.469964386,1.555650777,0.08150843173
"Control","4",2.36856655111043,0.5258645104,0.9326961514,0.08341624328
"Control","5",2.02487864682489,1.29874972,1.054019306,0.06978962945
"Control","6",2.01580961049029,0.9179864778,1.213485202,0.08559484185
